Unnamed: 0,연도 (년),추계인구(명),출생자수(명),사망자수(명),자연증가수(명),조출생률 (1000명당),조사망률 (1000명당),자연증가율 (1000명당),합계출산율
0,1925,12997611,558897,359042,199855,43.0,27.6,15.4,6.59
1,1926,13052741,511667,337948,173719,39.2,25.9,13.3,
2,1927,13037169,534524,353818,180706,41.0,27.1,13.9,
3,1928,13105131,566142,357701,208441,43.2,27.3,15.9,
4,1929,13124279,566969,414366,152603,43.2,31.6,11.6,
5,1930,13880469,587144,322611,264533,42.3,23.2,19.1,6.41
6,1931,13895052,589428,346800,242628,42.4,25.0,17.4,
7,1932,14117191,600545,384287,216258,42.5,27.2,15.3,
8,1933,14229277,607021,336232,270789,42.7,23.6,19.1,
9,1934,14449155,618135,356515,261620,42.8,24.7,18.1,
10,1935,15061960,646158,377454,268704,42.9,25.1,17.8,6.6
11,1936,15114775,639355,381806,257549,42.3,25.3,17.0,
12,1937,15235383,636839,342575,294264,41.8,22.5,19.3,
13,1938,15358193,569299,347025,222274,37.1,22.6,14.5,
14,1939,15486028,585482,353391,232091,37.8,22.8,15.0,
15,1940,15559741,527964,358496,169468,33.9,23.0,10.9,6.56
16,1941,15745478,553690,366239,187451,35.2,23.3,11.9,
17,1942,16013742,533768,376003,157765,33.3,23.5,9.8,
18,1943,16239721,513846,384881,128965,31.6,23.7,7.9,
19,1944,16599172,533215,380121,153094,32.1,22.9,9.2,6.78
20,1945,16695819,544786,367308,177478,32.6,22.0,10.6,
21,1946,19369270,590763,410629,180134,30.5,21.2,9.3,
22,1947,19836234,686334,361019,325315,35.0,18.2,16.8,
23,1948,20027393,692948,374512,318436,34.6,18.7,15.9,
24,1949,20188641,696508,341188,355320,34.5,16.9,17.6,
25,1950,19211386,633976,597474,36502,33.0,31.1,1.9,5.05
26,1951,19304737,675666,579142,96524,35.0,30.0,5.0,
27,1952,19566860,722018,457865,264153,36.9,23.4,13.5,
28,1953,19979069,777186,363619,413567,38.9,18.2,20.7,
29,1954,20520601,839293,348850,490433,40.9,17.0,23.9,
30,1955,21168611,908134,295302,612832,42.9,14.0,28.9,6.33
31,1956,21897911,945990,294344,651646,43.2,13.4,29.8,
32,1957,22681233,963952,293344,670608,42.5,12.9,29.6,
33,1958,23490027,993628,291864,701764,42.3,12.4,29.9,
34,1959,24295786,1016173,289525,726648,41.8,11.9,29.9,
35,1960,25012374,1080535,285350,795185,43.2,11.4,31.8,6.16
36,1961,25765673,1046086,280846,765240,40.6,10.9,29.7,5.99
37,1962,26513030,1036659,270433,760266,39.1,10.2,28.9,5.79
38,1963,27261747,1033220,278070,755150,37.9,10.2,27.7,5.57
39,1964,27984155,1001833,279842,721991,35.8,10.0,25.8,5.36
40,1965,28704674,996052,272694,723358,34.7,9.5,25.2,5.16
41,1966,29435571,1030245,294356,735889,35.0,10.0,25.0,4.99
42,1967,30130983,1005295,242280,763013,33.4,8.0,25.4,4.84
43,1968,30838302,1043321,280308,763013,33.8,9.1,24.7,4.72
44,1969,31544266,1044943,270023,774920,33.1,8.6,24.5,4.62
45,1970,32240827,1006645,258589,748056,31.2,8.0,23.2,4.53
46,1971,32882704,1024773,237528,787245,31.2,7.2,23.9,4.54
47,1972,33505406,952780,210071,742709,28.4,6.3,22.2,4.12
48,1973,34103149,965521,267460,698061,28.3,7.8,20.5,4.07
49,1974,34692266,922823,248807,674016,26.6,7.2,19.4,3.77
50,1975,35280725,874030,270657,603373,24.8,7.7,17.1,3.43
51,1976,35848523,796331,266857,529474,22.2,7.4,14.8,3.0
52,1977,36411795,825339,249254,576085,22.7,6.8,15.8,2.99
53,1978,36969185,750728,252298,498430,20.3,6.8,13.5,2.64
54,1979,37534236,862669,239986,622683,23.0,6.4,16.6,2.9
55,1980,38123775,862835,277284,585551,22.6,7.3,15.4,2.82
56,1981,38723248,867409,237481,629928,22.4,6.1,16.3,2.57
57,1982,39326352,848312,245767,602545,21.6,6.2,15.3,2.39
58,1983,39910403,769155,254563,514592,19.3,6.4,12.9,2.06
59,1984,40405956,674793,236445,438348,16.7,5.9,10.8,1.74
60,1985,40805744,655489,240418,415071,16.1,5.9,10.2,1.66
61,1986,41213674,636019,239256,396763,15.4,5.8,9.6,1.58
62,1987,41621690,623831,243504,380327,15.0,5.9,9.1,1.53
63,1988,42031247,633092,235779,397313,15.1,5.6,9.5,1.55
64,1989,42449038,639431,236818,402613,15.1,5.6,9.5,1.56
65,1990,42869283,649738,241616,408122,15.2,5.6,9.5,1.57
66,1991,43295704,709275,242270,467005,16.4,5.6,10.8,1.71
67,1992,43747962,730678,236162,494516,16.7,5.4,11.3,1.76
68,1993,44194628,715826,234257,481569,16.0,5.2,10.8,1.654
69,1994,44641540,721185,242439,478746,16.0,5.4,10.6,1.656
70,1995,45092991,715020,242838,472182,15.7,5.3,10.3,1.634
71,1996,45524681,691226,241149,450077,15.0,5.2,9.8,1.574
72,1997,45953580,675394,241943,433451,14.4,5.2,9.2,1.537
73,1998,46286503,641594,243193,398401,13.6,5.2,8.4,1.464
74,1999,46616677,620668,245364,375304,13.0,5.2,7.8,1.425
75,2000,47008111,640089,246163,393326,13.3,5.2,8.2,1.48
76,2001,47370164,559934,241521,318413,11.6,5.0,6.5,1.309
